,correct,rt,cond,log_rt
831,1,0.6163,Accuracy,-0.48402142101393963
832,1,0.4324,Neutral,-0.8384041932170838
833,0,0.3611,Accuracy,-1.0186003506987251
834,1,0.8683,Accuracy,-0.14121800191553763
835,1,0.5122,Neutral,-0.6690401052167122
836,1,0.8256,Accuracy,-0.19164488425483878
837,1,0.3409,Speed,-1.0761660998382796
838,1,0.5313,Neutral,-0.6324284455252395
839,0,0.3672,Speed,-1.0018486202358017
840,1,0.4429,Speed,-0.8144112680529845
841,1,1.1019,Accuracy,0.09703596251159435
842,0,0.3345,Speed,-1.0951183994138538
843,1,0.4326,Neutral,-0.8379417654631787
844,0,0.3452,Speed,-1.0636313197728642
845,0,0.3535,Speed,-1.0398717936455097
846,1,0.8248,Neutral,-0.19261434627938692
847,1,0.5577,Accuracy,-0.5839340955866291
848,1,0.4825,Neutral,-0.7287743582030964
849,1,0.4199,Accuracy,-0.8677386912919894
850,1,0.47700000000000004,Neutral,-0.7402387880937957
851,1,0.3968,Accuracy,-0.9243229035714193
852,1,0.2826,Speed,-1.2637228087317098
853,1,0.4868,Accuracy,-0.7199019178687649
854,1,0.4356,Accuracy,-0.8310308879233317
855,1,0.4714,Accuracy,-0.7520482884801063
856,1,0.395,Neutral,-0.9288695140810151
857,1,0.4055,Neutral,-0.9026344054266694
858,1,0.3632,Speed,-1.0128016322549989
859,1,0.4463,Neutral,-0.8067639073469128
860,1,0.3871,Speed,-0.9490722213985346
861,0,0.6037,Speed,-0.5046778931797565
862,1,0.7193,Accuracy,-0.3294767621088264
863,1,0.4822,Speed,-0.7293963132350664
864,1,0.6266,Accuracy,-0.46744690046404563
865,1,0.491,Accuracy,-0.7113111511876165
866,1,0.4121,Speed,-0.8864892406373653
867,1,0.3293,Speed,-1.1107860895998185
868,1,0.5137,Accuracy,-0.6661158415089148
869,1,0.4215,Speed,-0.8639355015402269
870,1,0.3681,Neutral,-0.9994006385971617
871,1,0.3763,Speed,-0.9773685813827454
872,1,0.3147,Speed,-1.156135474911776
873,1,0.6065,Neutral,-0.5000505505980322
874,1,0.3506,Speed,-1.048109306495003
875,1,0.5116,Speed,-0.6702122092774493
876,1,0.6557,Accuracy,-0.4220519117125634
877,1,0.3289,Speed,-1.1120015257871256
878,1,0.4729,Neutral,-0.7488713293323069
879,1,0.4708,Neutral,-0.7533219035960154
880,1,0.6162,Accuracy,-0.4841836928195696
881,1,0.5258,Accuracy,-0.6428343666863562
882,1,0.6299,Neutral,-0.4621942023542537
883,1,0.6608,Neutral,-0.41430405677536863
884,1,0.606,Speed,-0.5008752929128226
885,1,0.7969,Accuracy,-0.22702607857843454
886,1,0.7013,Accuracy,-0.35481952343927226
887,1,0.6477,Neutral,-0.43432765279326563
888,1,0.7344,Accuracy,-0.3087014396758563
889,1,0.5605,Speed,-0.5789260364699225
890,1,0.3473,Speed,-1.0575663192321088
891,1,0.5315,Neutral,-0.6320520812001345
892,1,0.5791,Neutral,-0.546280104750393
893,1,0.7488,Accuracy,-0.28928335381875475
894,1,0.5946,Neutral,-0.5198663684181397
895,1,0.5183,Accuracy,-0.6572010537864762
896,1,0.4938,Neutral,-0.7056247020710579
897,1,0.5337,Accuracy,-0.627921395642238
898,1,0.7299,Accuracy,-0.31484774052455045
899,1,0.6281,Neutral,-0.465055889521802
900,1,0.5425,Accuracy,-0.6115671935675224
901,1,0.4966,Accuracy,-0.6999704059080708
902,0,0.2986,Speed,-1.2086503938770472
903,1,0.8052,Accuracy,-0.2166645852165006
904,1,0.6701,Accuracy,-0.400328324003012
905,1,0.3826,Speed,-0.9607652219759846
906,1,0.9096,Accuracy,-0.0947503365458108
907,1,0.4067,Speed,-0.8996794660689582
908,1,0.349,Speed,-1.05268335677971
909,1,0.6992,Accuracy,-0.3578184546408113
910,1,1.0333,Accuracy,0.03275756423817229
911,1,0.474,Neutral,-0.7465479572870606
912,0,0.3318,Speed,-1.103222901225793
913,1,0.9798,Accuracy,-0.02040680977766262
914,1,0.7202,Accuracy,-0.32822632776736227
915,1,0.9195,Accuracy,-0.08392523493776129
916,1,0.5981,Speed,-0.5139973149316258
917,0,0.2662,Speed,-1.3235073730211258
918,1,0.6468,Accuracy,-0.43571815127918523
919,1,0.7095,Accuracy,-0.34319478238203965
920,1,0.3957,Speed,-0.9270989305907584
921,1,0.4687,Speed,-0.7577923740534765
922,1,0.6459,Neutral,-0.43711058594371
923,1,0.3136,Speed,-1.1596369905058843
924,1,0.4237,Speed,-0.8587296213496235
925,1,0.6638,Accuracy,-0.4097743796962629
926,0,1.3747,Accuracy,0.3182355254952373
927,1,0.2364,Speed,-1.4422299934501939
928,1,0.5536,Neutral,-0.5913128746786773
929,0,0.3083,Speed,-1.1766819440900322
930,1,0.5742,Neutral,-0.5547775112951734
931,1,0.2985,Speed,-1.2089853461494804
932,1,0.8872,Accuracy,-0.11968484294597978
933,1,0.7584,Neutral,-0.27654432804132506
934,0,0.7423,Neutral,-0.2980018048586358
935,1,0.5498,Accuracy,-0.5982007032509918
936,1,0.4502,Neutral,-0.7980633505095052
937,0,0.3866,Speed,-0.9503647122079065
938,1,0.3885,Speed,-0.9454621091744349
939,1,0.6484,Accuracy,-0.43324748912061606
940,1,0.5042,Neutral,-0.6847822642283177
941,0,0.3431,Speed,-1.069733329117733
942,1,0.4471,Neutral,-0.8049729957422022
943,1,1.2257,Accuracy,0.20351210936498243
944,1,0.574,Neutral,-0.5551258826625707
945,1,0.5472,Accuracy,-0.6029409126737963
946,1,0.3365,Speed,-1.0891571298973546
947,1,0.3704,Speed,-0.9931717762101128
948,1,0.5603,Accuracy,-0.5792829244108981
949,1,0.4076,Speed,-0.8974689776335673
950,1,0.4447,Neutral,-0.8103553814654864
951,0,0.8513,Neutral,-0.16099068609212575
952,1,0.3007,Speed,-1.2016421889876536
953,0,0.2079,Speed,-1.57069808411817
954,1,0.3054,Speed,-1.186132886197605
955,1,0.354,Speed,-1.0384583658483626
956,1,0.594,Accuracy,-0.5208759596194922
957,1,0.3026,Speed,-1.1953434776278815
958,1,0.4922,Neutral,-0.7088701410251815
959,1,0.8666,Neutral,-0.14317776967632798
960,1,0.701,Accuracy,-0.355247391947547
961,1,0.7233,Neutral,-0.32393120512690193
962,1,0.396,Neutral,-0.9263410677276565
963,1,0.3028,Speed,-1.1946827574188432
964,1,0.511,Accuracy,-0.6713856887784326
965,1,0.3604,Speed,-1.0205407532479542
966,1,0.7048,Neutral,-0.3498412043601673
967,1,0.5721,Accuracy,-0.5584414777076538
968,0,0.4988,Neutral,-0.6955500651762556
969,1,0.574,Accuracy,-0.5551258826625707
970,1,0.5185,Neutral,-0.6568152513125551
971,1,0.5571,Neutral,-0.5850105219553672
972,0,0.3533,Speed,-1.0404377246170375
973,1,0.6093,Neutral,-0.49544452172768844
974,1,0.713,Accuracy,-0.33827385856784115
975,1,0.3941,Speed,-0.931150594781179
976,1,0.6145,Neutral,-0.48694634997604747
977,1,0.306,Speed,-1.1841701770297564
978,0,0.2919,Speed,-1.231344001122068
979,1,0.4219,Neutral,-0.862986959851844
980,1,0.7070000000000001,Accuracy,-0.3467246130855642
981,1,0.4617,Neutral,-0.7728399494691938
982,1,0.3514,Speed,-1.0458301032291402
983,1,0.467,Accuracy,-0.7614260213132397
984,1,0.6309,Accuracy,-0.46060790760537323
985,1,0.2492,Speed,-1.389499492068839
986,1,1.42,Accuracy,0.35065687161316933
987,1,1.0871,Neutral,0.08351360022781759
988,1,0.598,Neutral,-0.5141645250315053
989,1,0.5465,Accuracy,-0.6042209713655439
990,0,0.9169,Accuracy,-0.0867568639262819
991,0,0.2927,Speed,-1.2286070852842967
992,1,0.3053,Speed,-1.1864603792413049
993,1,0.6462,Accuracy,-0.43664622559173916
994,0,0.3387,Speed,-1.082640519158411
995,1,0.374,Speed,-0.9834994815676051
996,0,0.9975,Accuracy,-0.002503130218118477
997,1,0.5761,Neutral,-0.5514740222437997
998,1,0.3096,Speed,-1.172474137266565
999,0,0.3444,Speed,-1.0659515064285614
1000,1,0.4478,Neutral,-0.8034085748174826
1001,1,0.3941,Speed,-0.931150594781179
