,correct,left_coherence,pressed,right_coherence,rt,subj,coherence
277,False,0.06,F,0.06,0.44133366764799575,101,"0.06, 0.06"
278,False,0.12,J,0.12,0.2762346337458439,101,"0.12, 0.12"
279,True,0.18,F,0.0,0.32896710506247473,101,"0.0, 0.18"
280,True,0.0,J,0.06,0.2981361013144124,101,"0.0, 0.06"
281,False,0.18,J,0.18,0.2980654518660231,101,"0.18, 0.18"
282,True,0.3,F,0.3,0.2505783557799077,101,"0.3, 0.3"
283,True,0.06,J,0.24,0.2078265736117828,101,"0.06, 0.24"
284,True,0.24,F,0.06,0.2862124138009676,101,"0.06, 0.24"
285,True,0.24,J,0.3,0.23542875903604002,101,"0.24, 0.3"
286,False,0.06,F,0.18,0.2644519680716257,101,"0.06, 0.18"
287,False,0.24,J,0.24,0.031213341940201644,101,"0.24, 0.24"
288,True,0.3,F,0.12,0.3475346113036721,101,"0.12, 0.3"
289,False,0.3,J,0.06,0.13068097756695352,101,"0.06, 0.3"
290,False,0.12,F,0.24,0.3243041029318192,101,"0.12, 0.24"
291,False,0.24,J,0.0,0.31990139553454355,101,"0.0, 0.24"
292,True,0.3,F,0.18,0.3530330777939525,101,"0.18, 0.3"
293,True,0.06,J,0.18,0.3132275161597136,101,"0.06, 0.18"
294,False,0.3,J,0.0,0.15879807279452507,101,"0.0, 0.3"
295,True,0.12,J,0.18,0.3233327422785805,101,"0.12, 0.18"
296,True,0.0,J,0.18,0.3402488522924614,101,"0.0, 0.18"
297,True,0.06,F,0.0,0.3909335978305535,101,"0.0, 0.06"
298,False,0.12,J,0.06,0.37633839146474196,101,"0.06, 0.12"
299,False,0.0,F,0.18,0.32532588789763395,101,"0.0, 0.18"
300,False,0.06,F,0.3,0.299180604925823,101,"0.06, 0.3"
301,True,0.18,J,0.18,0.35407439525442896,101,"0.18, 0.18"
302,True,0.24,F,0.12,0.5917072785559867,101,"0.12, 0.24"
303,False,0.24,J,0.0,0.34580896389161353,101,"0.0, 0.24"
304,False,0.06,F,0.3,0.2454237166048188,101,"0.06, 0.3"
305,True,0.0,J,0.0,0.3805913497371876,101,"0.0, 0.0"
306,True,0.0,J,0.12,0.3260494213673155,101,"0.0, 0.12"
307,False,0.12,F,0.24,0.3037434510733874,101,"0.12, 0.24"
308,False,0.3,J,0.18,0.3266449546590593,101,"0.18, 0.3"
309,False,0.0,F,0.24,0.2789684903455054,101,"0.0, 0.24"
310,True,0.3,F,0.3,2.2566883426143254,102,"0.3, 0.3"
311,True,0.12,J,0.18,1.4046038970161594,102,"0.12, 0.18"
312,False,0.0,,0.12,,102,"0.0, 0.12"
313,False,0.18,J,0.06,0.9669647975260888,102,"0.06, 0.18"
314,True,0.0,J,0.3,2.1281225264083328,102,"0.0, 0.3"
315,True,0.0,J,0.24,1.8590875932327435,102,"0.0, 0.24"
316,True,0.3,F,0.0,0.9276487327315408,102,"0.0, 0.3"
317,True,0.3,F,0.0,0.7644804075605407,102,"0.0, 0.3"
318,True,0.24,F,0.0,0.6567539217987814,102,"0.0, 0.24"
319,True,0.3,F,0.12,0.8510851041608021,102,"0.12, 0.3"
320,True,0.06,J,0.18,0.7345780172033756,102,"0.06, 0.18"
321,False,0.12,F,0.24,0.9682022687015888,102,"0.12, 0.24"
322,True,0.24,F,0.12,1.8096283652273544,102,"0.12, 0.24"
323,True,0.24,F,0.06,1.0976887424062625,102,"0.06, 0.24"
324,True,0.18,F,0.0,1.4994658357938988,102,"0.0, 0.18"
325,False,0.06,F,0.24,1.1566615235815334,102,"0.06, 0.24"
326,False,0.3,J,0.24,1.9919306018739464,102,"0.24, 0.3"
327,True,0.18,J,0.24,1.95079109220228,102,"0.18, 0.24"
328,False,0.0,F,0.06,1.9184382789605932,102,"0.0, 0.06"
329,True,0.06,J,0.06,2.2791082782430294,102,"0.06, 0.06"
330,False,0.06,J,0.0,1.8985752942958245,102,"0.0, 0.06"
331,True,0.06,J,0.12,1.6905720848778856,102,"0.06, 0.12"
332,False,0.06,F,0.24,1.5952050727869391,102,"0.06, 0.24"
333,True,0.12,J,0.3,1.5294554988297475,102,"0.12, 0.3"
334,False,0.0,F,0.3,1.8286809607311625,102,"0.0, 0.3"
335,True,0.3,F,0.12,1.2489145633719545,102,"0.12, 0.3"
336,True,0.24,F,0.18,1.268132976965262,102,"0.18, 0.24"
337,True,0.0,J,0.12,1.595702111472292,102,"0.0, 0.12"
